REGION TYPE	REGION	YEAR	WEEK	TOTAL SPECIMENS	PERCENT POSITIVE	A (H1)	A (Unable to Subtype)	A (H3)	2009 H1N1	A (Subtyping not Performed)	B	H3N2v
National	X	2013	6	13708	22.8333819667	0	0	1178	121	722	1109	0
National	X	2013	7	11980	20.6844741235	0	0	805	69	501	1103	0
National	X	2013	8	10825	19.7598152425	0	0	560	76	371	1132	0
National	X	2013	9	9905	18.8086824836	0	0	407	57	295	1104	0
National	X	2013	10	9318	18.0081562567	0	0	315	67	207	1089	0
National	X	2013	11	9066	16.4681226561	0	0	207	46	195	1045	0
National	X	2013	12	8206	15.6349012917	0	0	175	35	139	934	0
National	X	2013	13	7022	14.4830532612	0	0	114	37	94	772	0
National	X	2013	14	6507	13.9080989703	0	0	119	31	102	653	0
National	X	2013	15	5978	10.7895617263	0	0	68	45	65	467	0
National	X	2013	16	5374	8.6155563826	0	0	74	28	47	314	0
National	X	2013	17	4674	8.10868635	0	0	60	33	46	240	0
National	X	2013	18	4463	6.8115617298	0	0	54	15	30	205	0
National	X	2013	19	4040	5.8168316832	0	0	36	12	27	160	0
National	X	2013	20	3736	4.8715203426	0	0	24	11	20	127	0
National	X	2013	21	3656	4.4857768053	0	0	18	13	21	112	0
National	X	2013	22	3272	4.5843520782	0	0	14	14	28	94	0
National	X	2013	23	3265	4.1653905054	0	0	12	12	29	83	0
National	X	2013	24	2946	4.2769857434	0	0	12	20	32	62	0
National	X	2013	25	2900	4.3448275862	0	0	11	27	32	54	2
National	X	2013	26	2672	3.5553892216	0	0	5	34	22	28	6
National	X	2013	27	2354	3.525913339	0	0	13	17	24	25	4
National	X	2013	28	2444	4.1325695581	0	0	30	24	33	14	0
National	X	2013	29	2312	3.1574394464	0	0	13	20	25	14	1
National	X	2013	30	2074	3.1822565092	0	0	11	19	25	10	1
National	X	2013	31	2282	3.8124452235	0	0	13	24	28	20	2
National	X	2013	32	2274	3.3861037819	0	0	11	28	26	12	0
National	X	2013	33	2002	3.1468531469	0	0	3	16	33	11	0
National	X	2013	34	2232	2.688172043	0	0	4	10	42	3	1
National	X	2013	35	2695	4.452690167	0	0	4	39	66	10	1
National	X	2013	36	2828	4.0311173975	0	0	5	24	72	13	0
National	X	2013	37	3194	3.819661866	0	0	7	48	60	7	0
National	X	2013	38	3411	3.5180299033	0	0	7	36	55	22	0
National	X	2013	39	3946	4.6122655854	0	0	10	51	102	19	0
National	X	2013	40	4772	4.0234702431	0	0	13	68	83	27	1
National	X	2013	41	5636	3.9921930447	0	0	23	57	116	29	0
National	X	2013	42	5716	3.2190342897	0	0	15	49	94	26	0
National	X	2013	43	5650	3.5575221239	0	0	17	70	100	14	0
National	X	2013	44	6163	4.7217264319	0	0	26	87	136	42	0
National	X	2013	45	6770	5.8050221566	0	0	27	152	171	43	0
National	X	2013	46	7064	7.3046432616	0	0	21	270	188	37	0
National	X	2013	47	7672	9.1762252346	0	0	20	419	210	55	0
National	X	2013	48	7219	12.065383017	0	0	28	472	330	41	0
National	X	2013	49	9912	18.290960452	0	0	32	988	726	67	0
National	X	2013	50	10583	20.7691580837	0	0	54	1279	815	50	0
National	X	2013	51	13722	28.1154350678	0	0	50	2143	1600	65	0
National	X	2013	52	15530	31.0302640052	0	0	46	2940	1740	93	0
National	X	2014	1	17470	29.181453921	0	0	82	3396	1536	84	0
National	X	2014	2	17606	27.325911621	0	0	105	3345	1278	83	0
National	X	2014	3	16878	26.3893826283	0	0	117	3072	1155	110	0
National	X	2014	4	15941	23.9006335863	0	0	124	2497	1033	156	0
National	X	2014	5	14191	20.1747586498	0	0	88	1844	773	158	0
National	X	2014	6	12596	18.720228644	0	0	117	1483	556	202	0
National	X	2014	7	11353	16.4802254911	0	0	92	1087	484	208	0
National	X	2014	8	10893	13.5316258147	0	0	92	807	337	238	0
National	X	2014	9	9847	11.9528790495	0	0	98	553	260	266	0
National	X	2014	10	9237	10.8368517917	0	0	99	403	206	293	0
National	X	2014	11	8708	11.1162149747	0	0	134	340	162	332	0
National	X	2014	12	8001	12.5734283215	0	0	161	201	190	454	0
National	X	2014	13	7740	13.2687338501	0	0	175	148	188	516	0
National	X	2014	14	7375	14.4542372881	0	0	232	110	145	579	0
National	X	2014	15	7047	15.0418617852	0	0	225	52	168	615	0
National	X	2014	16	6521	13.7248888207	0	0	219	30	138	508	0
National	X	2014	17	6223	13.0644383738	0	0	191	29	129	464	0
National	X	2014	18	5748	12.717466945	0	0	151	13	131	436	0
National	X	2014	19	5341	11.0278973975	0	0	130	7	104	348	0
National	X	2014	20	5210	10.4030710173	0	0	117	6	101	318	0
National	X	2014	21	4763	8.3770732731	0	0	104	1	61	233	0
National	X	2014	22	4662	8.9875589876	0	0	113	3	80	223	0
National	X	2014	23	4222	7.2477498816	0	0	93	2	51	160	0
National	X	2014	24	4057	7.1974365295	0	0	100	3	49	140	0
National	X	2014	25	3793	5.9583443185	0	0	69	3	43	111	0
National	X	2014	26	3365	5.1114413076	0	0	45	1	28	98	0
National	X	2014	27	3039	5.1990786443	0	0	47	2	26	83	0
National	X	2014	28	2928	4.9521857923	0	0	53	3	29	60	0
National	X	2014	29	3066	3.7834311807	0	0	41	0	19	56	0
National	X	2014	30	3022	3.7392455328	0	0	34	1	28	50	0
National	X	2014	31	2783	2.730865972	0	0	33	1	25	17	0
National	X	2014	32	2631	1.7103762828	0	0	14	2	16	12	1
National	X	2014	33	2705	1.9963031423	0	0	13	1	20	20	0
National	X	2014	34	2110	2.3222748815	0	0	2	2	20	25	0
